Date,Value
2016-07-01,1.453
2016-06-30,1.43
2016-06-29,1.466
2016-06-28,1.441
2016-06-27,1.419
2016-06-24,1.444
2016-06-23,1.517
2016-06-22,1.487
2016-06-21,1.494
2016-06-20,1.511
2016-06-17,1.443
2016-06-16,1.401
2016-06-15,1.444
2016-06-14,1.462
2016-06-13,1.501
2016-06-10,1.534
2016-06-09,1.591
2016-06-08,1.604
2016-06-07,1.57
2016-06-06,1.565
2016-06-03,1.583
2016-06-02,1.607
2016-06-01,1.611
2016-05-31,1.59
2016-05-27,1.637
2016-05-26,1.597
2016-05-25,1.629
2016-05-24,1.639
2016-05-23,1.628
2016-05-20,1.618
2016-05-19,1.631
2016-05-18,1.627
2016-05-17,1.644
2016-05-16,1.589
2016-05-13,1.558
2016-05-12,1.548
2016-05-11,1.545
2016-05-10,1.46
2016-05-09,1.413
2016-05-06,1.481
2016-05-05,1.474
2016-05-04,1.478
2016-05-03,1.493
2016-05-02,1.535
2016-04-29,1.571
2016-04-28,1.569
2016-04-27,1.555
2016-04-26,1.542
2016-04-25,1.489
2016-04-22,1.504
2016-04-21,1.491
2016-04-20,1.462
2016-04-19,1.451
2016-04-18,1.4
2016-04-15,1.426
2016-04-14,1.464
2016-04-13,1.483
2016-04-12,1.489
2016-04-11,1.468
2016-04-08,1.424
2016-04-07,1.332
2016-04-06,1.339
2016-04-05,1.322
2016-04-04,1.315
2016-04-01,1.321
2016-03-31,1.351
2016-03-30,1.369
2016-03-29,1.323
2016-03-28,1.326
2016-03-24,1.321
2016-03-23,1.286
2016-03-22,1.273
2016-03-21,1.232
2016-03-18,1.209
2016-03-17,1.205
2016-03-16,1.185
2016-03-15,1.151
2016-03-14,1.157
2016-03-11,1.182
2016-03-10,1.173
2016-03-09,1.185
2016-03-08,1.097
2016-03-07,1.097
2016-03-04,1.041
2016-03-03,1.028
2016-03-02,1.062
2016-03-01,1.053
2016-02-29,1.05
2016-02-26,1.027
2016-02-25,1.055
2016-02-24,1.028
2016-02-23,0.985
2016-02-22,1.269
2016-02-19,1.233
2016-02-18,1.244
2016-02-17,1.013
2016-02-16,0.99
2016-02-12,1.066
2016-02-11,0.984
2016-02-10,0.978
2016-02-09,0.947
2016-02-08,0.994
2016-02-05,1.025
2016-02-04,1.055
2016-02-03,1.06
2016-02-02,1.028
2016-02-01,1.124
2016-01-29,1.152
2016-01-28,1.131
2016-01-27,1.074
2016-01-26,1.08
2016-01-25,1.053
2016-01-22,1.11
2016-01-21,1.066
2016-01-20,1.052
2016-01-19,1.057
2016-01-15,1.043
2016-01-14,1.092
2016-01-13,1.067
2016-01-12,1.098
2016-01-11,1.117
2016-01-08,1.133
2016-01-07,1.155
2016-01-06,1.167
2016-01-05,1.264
2016-01-04,1.297
2015-12-31,1.284
2015-12-30,1.271
2015-12-29,1.298
2015-12-28,1.248
2015-12-24,1.278
2015-12-23,1.27
2015-12-22,1.191
2015-12-21,1.208
2015-12-18,1.287
2015-12-17,1.282
2015-12-16,1.259
2015-12-15,1.249
2015-12-14,1.247
2015-12-11,1.279
2015-12-10,1.283
2015-12-09,1.246
2015-12-08,1.212
2015-12-07,1.228
2015-12-04,1.316
2015-12-03,1.338
2015-12-02,1.368
2015-12-01,1.427
2015-11-30,1.377
2015-11-27,1.36
2015-11-25,1.373
2015-11-24,1.389
2015-11-23,1.361
2015-11-20,1.33
2015-11-19,1.337
2015-11-18,1.323
2015-11-17,1.288
2015-11-16,1.303
2015-11-13,1.295
2015-11-12,1.332
2015-11-11,1.383
2015-11-10,1.422
2015-11-09,1.43
2015-11-06,1.434
2015-11-05,1.433
2015-11-04,1.462
2015-11-03,1.49
2015-11-02,1.423
2015-10-30,1.444
2015-10-29,1.392
2015-10-28,1.391
2015-10-27,1.337
2015-10-26,1.342
2015-10-23,1.354
2015-10-22,1.367
2015-10-21,1.327
2015-10-20,1.318
2015-10-19,1.32
2015-10-16,1.387
2015-10-15,1.375
2015-10-14,1.366
2015-10-13,1.371
2015-10-12,1.413
2015-10-09,1.477
2015-10-08,1.477
2015-10-07,1.465
2015-10-06,1.505
2015-10-05,1.459
2015-10-02,1.417
2015-10-01,1.422
2015-09-30,1.439
2015-09-29,1.415
2015-09-28,1.4
2015-09-25,1.445
2015-09-24,1.423
2015-09-23,1.441
2015-09-22,1.469
2015-09-21,1.454
2015-09-18,1.423
2015-09-17,1.461
2015-09-16,1.463
2015-09-15,1.42
2015-09-14,1.387
2015-09-11,1.456
2015-09-10,1.482
2015-09-09,1.474
2015-09-08,1.507
2015-09-04,1.53
2015-09-03,1.561
2015-09-02,1.555
2015-09-01,1.393
2015-08-31,1.651
2015-08-28,1.524
2015-08-27,1.464
2015-08-26,1.386
2015-08-25,1.456
2015-08-24,1.485
2015-08-21,1.556
2015-08-20,1.537
2015-08-19,1.56
2015-08-18,1.644
2015-08-17,1.669
2015-08-14,1.699
2015-08-13,1.729
2015-08-12,1.772
2015-08-11,1.713
2015-08-10,1.705
2015-08-07,1.631
2015-08-06,1.655
2015-08-05,1.674
2015-08-04,1.764
2015-08-03,1.751
2015-07-31,1.705
2015-07-30,1.766
2015-07-29,1.778
2015-07-28,1.742
2015-07-27,1.744
2015-07-24,1.768
2015-07-23,1.799
2015-07-22,1.803
2015-07-21,1.867
2015-07-20,1.88
2015-07-17,1.876
2015-07-16,1.843
2015-07-15,1.808
2015-07-14,1.873
2015-07-13,1.883
2015-07-10,1.994
2015-07-09,2.016
2015-07-08,1.957
2015-07-07,1.91
2015-07-06,1.885
2015-07-02,1.969
2015-07-01,1.951
2015-06-30,1.971
2015-06-29,1.93
2015-06-26,1.96
2015-06-25,1.951
2015-06-24,1.975
2015-06-23,2.012
2015-06-22,1.985
2015-06-19,2.003
2015-06-18,2.041
2015-06-17,2.062
2015-06-16,2.098
2015-06-15,2.043
2015-06-12,2.07
2015-06-11,2.072
2015-06-10,2.092
2015-06-09,2.019
2015-06-08,1.952
2015-06-05,1.964
2015-06-04,1.924
2015-06-03,1.986
2015-06-02,2.015
2015-06-01,1.988
